participant_id,mode,age_group,gender,sessions,total_tasks,answered_tasks,solved_tasks,accuracy_total,accuracy_answered,answered_rate,mean_rt_ms,median_rt_ms,p90_rt_ms,max_level,level_gain_mean,solved_tasks_per_session,answered_tasks_per_session,total_tasks_per_session
participant_01,baseline,25-28,female,11,902,848,709,0.7860310421286031,0.8360849056603774,0.9401330376940134,1495.5026127276892,1280.4,2526.66,10.0,3.4545454545454546,64.45454545454545,77.0909090909091,82.0
participant_01,ppo,25-28,female,1,30,9,8,0.26666666666666666,0.8888888888888888,0.3,1991.888888888889,1853.0,3341.2,10.0,0.0,8.0,9.0,30.0
participant_02,baseline,29-34,male,6,1412,1372,1247,0.8831444759206799,0.9088921282798834,0.9716713881019831,1718.8128494311948,1481.75,2845.883333333333,10.0,5.0,207.83333333333334,228.66666666666666,235.33333333333334
participant_02,ppo,29-34,male,2,864,863,817,0.9456018518518519,0.9466975666280417,0.9988425925925926,2051.419819557625,1877.5,3059.7,10.0,4.5,408.5,431.5,432.0
participant_03,baseline,25-28,female,3,171,163,145,0.847953216374269,0.8895705521472392,0.9532163742690059,2171.261038557214,1870.0,3733.2,7.0,3.3333333333333335,48.333333333333336,54.333333333333336,57.0
participant_03,ppo,25-28,female,1,234,229,206,0.8803418803418803,0.8995633187772926,0.9786324786324786,1822.82096069869,1563.0,3150.8,10.0,9.0,206.0,229.0,234.0
participant_04,baseline,25-28,male,2,666,646,578,0.8678678678678678,0.8947368421052632,0.96996996996997,1969.9074420203451,1680.5,3321.3999999999996,10.0,9.0,289.0,323.0,333.0
participant_04,ppo,25-28,male,1,420,418,377,0.8976190476190476,0.9019138755980861,0.9952380952380953,1572.7894736842106,1281.5,2981.9,10.0,9.0,377.0,418.0,420.0
participant_05,baseline,25-28,female,2,457,415,334,0.7308533916849015,0.8048192771084337,0.9080962800875274,1995.801724137931,1759.0,3379.55,10.0,3.5,167.0,207.5,228.5
participant_05,ppo,25-28,female,1,162,159,135,0.8333333333333334,0.8490566037735849,0.9814814814814815,1760.9622641509434,1470.0,3092.8,10.0,9.0,135.0,159.0,162.0
participant_06,baseline,25-28,male,1,374,360,313,0.8368983957219251,0.8694444444444445,0.9625668449197861,1743.5777777777778,1447.0,3188.5000000000005,10.0,9.0,313.0,360.0,374.0
participant_07,baseline,25-28,female,1,337,327,295,0.8753709198813057,0.9021406727828746,0.9703264094955489,1984.5259938837921,1735.0,3339.0000000000005,10.0,9.0,295.0,327.0,337.0
participant_07,ppo,25-28,female,1,150,147,139,0.9266666666666666,0.9455782312925171,0.98,1829.265306122449,1562.0,3083.0000000000005,10.0,9.0,139.0,147.0,150.0
participant_08,baseline,29-34,male,1,602,590,513,0.8521594684385382,0.8694915254237288,0.9800664451827242,1799.7305084745763,1458.0,3110.3,10.0,9.0,513.0,590.0,602.0
participant_08,ppo,29-34,male,2,168,167,147,0.875,0.8802395209580839,0.9940476190476191,1615.3939716312057,1316.0,2723.8999999999996,10.0,4.0,73.5,83.5,84.0
participant_09,baseline,25-28,female,1,384,355,323,0.8411458333333334,0.9098591549295775,0.9244791666666666,1923.625352112676,1605.0,3394.8,10.0,9.0,323.0,355.0,384.0
participant_09,ppo,25-28,female,1,90,90,83,0.9222222222222223,0.9222222222222223,1.0,1600.911111111111,1271.0,2941.9,9.0,8.0,83.0,90.0,90.0
participant_10,baseline,35-39,male,1,100,90,67,0.67,0.7444444444444445,0.9,2535.2555555555555,2739.0,3592.3,3.0,2.0,67.0,90.0,100.0
participant_10,ppo,35-39,male,2,60,60,55,0.9166666666666666,0.9166666666666666,1.0,1931.8333333333333,1686.5,2939.8,3.0,1.5,27.5,30.0,30.0
participant_11,baseline,0-17,male,1,230,188,151,0.6565217391304348,0.8031914893617021,0.8173913043478261,2675.5797872340427,2638.0,3833.1000000000004,6.0,5.0,151.0,188.0,230.0
participant_12,baseline,25-28,male,2,294,286,258,0.8775510204081632,0.9020979020979021,0.9727891156462585,2283.985014717688,2018.5,3639.7,10.0,7.0,129.0,143.0,147.0
participant_12,ppo,25-28,male,1,80,80,78,0.975,0.975,1.0,1707.475,1405.5,3140.8,8.0,7.0,78.0,80.0,80.0
participant_13,baseline,18-20,female,1,299,262,230,0.7692307692307693,0.8778625954198473,0.8762541806020067,2466.1450381679388,2366.0,3525.3,10.0,9.0,230.0,262.0,299.0
participant_14,baseline,21-24,male,1,774,755,683,0.8824289405684754,0.904635761589404,0.975452196382429,1991.4807947019867,1794.0,3296.2000000000003,10.0,9.0,683.0,755.0,774.0
participant_15,baseline,21-24,male,1,110,101,86,0.7818181818181819,0.8514851485148515,0.9181818181818182,2202.6831683168316,2159.0,3389.0,5.0,4.0,86.0,101.0,110.0
participant_16,baseline,18-20,male,1,332,321,242,0.7289156626506024,0.7538940809968847,0.9668674698795181,1776.9657320872275,1621.0,3383.0,10.0,9.0,242.0,321.0,332.0
participant_17,baseline,18-20,male,1,382,377,352,0.9214659685863874,0.9336870026525199,0.9869109947643979,2060.3580901856762,1793.0,3378.600000000001,10.0,9.0,352.0,377.0,382.0
participant_18,baseline,25-28,female,1,493,462,409,0.8296146044624746,0.8852813852813853,0.9371196754563894,2245.339826839827,2089.0,3343.7000000000003,10.0,9.0,409.0,462.0,493.0
participant_18,ppo,25-28,female,1,220,217,205,0.9318181818181818,0.9447004608294931,0.9863636363636363,1929.0599078341013,1722.0,3019.6,10.0,9.0,205.0,217.0,220.0
participant_19,baseline,25-28,male,1,100,99,88,0.88,0.8888888888888888,0.99,2228.7272727272725,2079.0,3335.4,6.0,5.0,88.0,99.0,100.0
participant_20,baseline,21-24,male,1,33,27,17,0.5151515151515151,0.6296296296296297,0.8181818181818182,2004.0740740740741,1887.0,3670.2000000000044,1.0,0.0,17.0,27.0,33.0
participant_21,baseline,29-34,male,2,150,145,132,0.88,0.9103448275862069,0.9666666666666667,2057.494572297004,1747.75,3327.7499999999995,7.0,4.5,66.0,72.5,75.0
participant_22,baseline,29-34,female,3,83,78,73,0.8795180722891566,0.9358974358974359,0.9397590361445783,2275.871794871795,2217.0,3375.9,6.0,1.6666666666666667,24.333333333333332,26.0,27.666666666666668
participant_23,baseline,29-34,male,3,384,365,325,0.8463541666666666,0.8904109589041096,0.9505208333333334,2085.884357307612,1856.5,3277.0,10.0,4.666666666666667,108.33333333333333,121.66666666666667,128.0
participant_24,baseline,29-34,male,1,221,217,187,0.8461538461538461,0.8617511520737328,0.9819004524886877,1957.7096774193549,1721.0,3094.6,10.0,9.0,187.0,217.0,221.0
participant_25,baseline,29-34,female,1,402,394,364,0.9054726368159204,0.9238578680203046,0.9800995024875622,2248.3629441624366,2085.0,3522.4,10.0,9.0,364.0,394.0,402.0
participant_26,baseline,29-34,male,4,237,231,175,0.7383966244725738,0.7575757575757576,0.9746835443037974,3021.476621417798,3089.3333333333335,4106.466666666667,10.0,2.25,43.75,57.75,59.25
participant_26,ppo,29-34,male,1,90,90,81,0.9,0.9,1.0,2225.5555555555557,2042.5,3108.8,9.0,8.0,81.0,90.0,90.0
participant_27,baseline,21-24,male,1,942,933,855,0.9076433121019108,0.9163987138263665,0.9904458598726115,1988.6634512325832,1687.0,3422.0,10.0,9.0,855.0,933.0,942.0
participant_28,baseline,29-34,male,1,520,502,446,0.8576923076923076,0.8884462151394422,0.9653846153846154,2379.675298804781,2222.0,3590.9,10.0,9.0,446.0,502.0,520.0
participant_29,baseline,25-28,female,1,70,64,56,0.8,0.875,0.9142857142857143,2507.28125,2583.5,3715.500000000001,3.0,2.0,56.0,64.0,70.0
participant_29,ppo,25-28,female,1,200,199,185,0.925,0.9296482412060302,0.995,1922.145728643216,1716.0,3246.6000000000004,10.0,9.0,185.0,199.0,200.0
participant_30,baseline,35-39,male,1,275,267,249,0.9054545454545454,0.9325842696629213,0.9709090909090909,1940.3558052434457,1588.0,3250.0,10.0,9.0,249.0,267.0,275.0
participant_30,ppo,35-39,male,4,160,159,152,0.95,0.9559748427672956,0.99375,1706.2027777777778,1575.375,2640.675,10.0,2.25,38.0,39.75,40.0
participant_31,baseline,35-39,male,2,60,55,51,0.85,0.9272727272727272,0.9166666666666666,2081.42,1642.0,3662.8500000000004,3.0,1.0,25.5,27.5,30.0
participant_31,ppo,35-39,male,1,70,70,65,0.9285714285714286,0.9285714285714286,1.0,1782.6571428571428,1545.5,3019.3,6.0,5.0,65.0,70.0,70.0
participant_32,baseline,25-28,female,1,210,193,175,0.8333333333333334,0.9067357512953368,0.919047619047619,2110.373056994819,1981.0,3162.2000000000007,9.0,8.0,175.0,193.0,210.0
participant_33,baseline,21-24,male,5,427,411,374,0.8758782201405152,0.9099756690997567,0.9625292740046838,2912.0661764705883,3438.5,4372.55,10.0,1.8,74.8,82.2,85.4
participant_33,ppo,21-24,male,1,120,120,117,0.975,0.975,1.0,1899.4333333333334,1639.0,3046.1,10.0,9.0,117.0,120.0,120.0
participant_34,baseline,29-34,female,1,330,286,254,0.7696969696969697,0.8881118881118881,0.8666666666666667,2214.513986013986,2130.0,3410.5,10.0,8.0,254.0,286.0,330.0
